gene.Name chr Start End
MORN1 1 2270283 2310562
PRDM16 1 3209961 3334075
KIAA0562 1 3722499 3756100
AJAP1 1 4681011 4725012
NPHP4 1 5848388 5890636
CAMTA1 1 6946809 7657967
KIF1B 1 10204773 10323189
PEX14 1 10515883 10578938
CASZ1 1 10649276 10746373
PRDM2 1 13943413 14006741
FHAD1 1 15461346 15591057
PADI3 1 17448915 17468512
PADI4 1 17519113 17559614
PADI6 1 17571924 17599966
ARHGEF10L 1 17744697 17877966
IGSF21 1 18344827 18540926
PAX7 1 18834682 18922202
CAPZB 1 19549101 19681653
KIF17 1 20875389 20912738
ECE1 1 21426906 21512982
NBPF3 1 21677635 21772078
ALPL 1 21773007 22995918
EPHB2 1 22944432 23047178
MAN1C1 1 25870455 25973750
PTPRU 1 29446950 29516468
CSMD2 1 33808148 34372455
C1orf94 1 34428890 34455443
GRIK3 1 37051164 37174588
MACF1 1 39332697 39687622
KCNQ4 1 41042750 41066444
HIVEP3 1 41781591 42038290
AGBL4 1 48803825 49179621
FAF1 1 50712350 51107682
LRP8 1 53486137 53559298
GLIS1 1 53773314 53960684
ACOT11 1 54795145 54833842
C1orf175 1 54902330 54928490
PPAP2B 1 56744988 56796520
C1orf168 1 56988560 57039468
C8A 1 57121024 57148459
DAB1 1 57552890 58206591
LOC729467 1 59374007 59382762
FGGY 1 59705924 59990631
NFIA 1 61343413 61650033
INADL 1 61994577 62116567
KANK4 1 62486057 62555361
PGM1 1 63857079 63897660
CACHD1 1 64756392 64914583
JAK1 1 65075719 65198335
DNAJC6 1 65518195 65646460
LEPR 1 65678853 65846402
PDE4B 1 66141958 66372641
IL23R 1 67439879 67494804
GNG12 1 67991380 68055489
GPR177 1 68345591 68440880
LRRC7 1 70020703 70242647
PTGER3 1 71109781 71231446
NEGR1 1 71760084 72288305
PIGK 1 77335449 77444267
AK5 1 77615449 77723671
ELTD1 1 79152141 79233222
LPHN2 1 82046728 82187787
LPAR3 1 85057961 85127151
DDAH1 1 85644206 85745014
COL24A1 1 86154428 86378709
CLCA1 1 86707496 86723220
CLCA4 1 86787573 86812533
LRRC8D 1 90094972 90130239
HFM1 1 91513560 91638124
BCAR3 1 93803122 93917005
ABCA4 1 94251126 94324038
DPYD 1 97409554 97829051
PAP2D 1 99158881 99197476
LPPR4 1 99511382 99540475
PALMD 1 99885324 99930776
OLFM3 1 102057631 102211020
COL11A1 1 103190837 103267530
NTNG1 1 107511901 107765797
KIAA1324 1 109475804 109543039
CD53 1 111219438 111241067
ADORA3 1 111853628 111904955
KCND3 1 112181511 112316638
MAGI3 1 113772574 113941514
NGF 1 115649911 115679147
CASQ2 1 116047178 116109369
PTGFRN 1 117264214 117306835
MAN1A2 1 117715488 117850491
HSD3B2 1 119788588 119952472
PHGDH 1 120060677 120074249
NBPF16 1 144190576 144439040
NBPF14 1 145032948 145836049
GJA5 1 145702219 145708347
LCE1A 1 150775490 150926873
KCNN3 1 152950730 153063686
FCRL5 1 155754709 155783751
KIRREL 1 156259721 156327197
OLFML2B 1 160222257 160256042
NOS1AP 1 160397105 160580009
DDR2 1 160870505 161003087
PBX1 1 162829729 162944976
LMX1A 1 163504584 163561152
POU2F1 1 165537340 165634924
CD247 1 165677015 165751764
MPZL1 1 165962123 166019657
ADCY10 1 166078983 166145783
DPT 1 166932598 166962101
ATP1B1 1 167345483 167357595
F5 1 167760350 167805972
BAT2D1 1 169733174 169815241
DNM3 1 170163821 170558828
KIAA0040 1 173398994 173423051
PAPPA2 1 174705738 175042301
ASTN1 1 175121235 175339778
FAM5B 1 175414782 175497405
FAM163A 1 177983204 178032795
LHX4 1 178473694 178499373
CACNA1E 1 179726011 179836514
LAMC2 1 181424072 181471100
NMNAT2 1 181508359 181646901
